Name,Generation,Parent,Pattern,Tail,Horn,Plumage,Material,Face,Ear,Color
g1ddy-Abalone,1,,Chromatic,Matrix,Angler,Feathers,Chrome,Fold,Dragonfly,
g1ddy-Adella,1,,Chromatic,Radish,Stacked,None,Chrome,Diamond,Heart,
g1ddy-Alana,1,,Chromatic,Asparagus,Bull,Spades,Geode,Diamond,Seraph,
g1ddy-Alba,1,,Chromatic,Flame,Antennae,Feather Boa,Chrome,Monkey,Slice,
g1ddy-Ambrosia,1,,Chromatic,Radish,Buns,Bat Wings,Geode,Heart,Rudders,
g1ddy-Amethyst,1,,Chromatic,Shell,Stacked,Skirt,Slimy,Triangles,Leaf,
g1ddy-Andrina,1,,Chromatic,Paradise,Antelope,Bee Wings,Starry,Octopus,Bat,
g1ddy-Aphrodite,1,,Chromatic,Shell,Trident,Beetle Wings,Chrome,Goggles,Mouse,
g1ddy-Apollo,1,,Chromatic,Ribcage,Buns,Dragon,Chrome,Goggles,Bear,
g1ddy-Aquaman,1,,Chromatic,Aguia,Spiral,Scales,Slimy,Star,Dragonfly,
g1ddy-Aquata,1,,Chromatic,Flame,Triceratops,Eyebrows,Furry,Round,Picks,
g1ddy-Archipelago,1,,Chromatic,Matrix,Hollowing,None,Furry,Blob,Mouse,
g1ddy-Arcoiris,1,,Chromatic,Fan,Devil,Scales,Waxy,Triangles,Slice,
g1ddy-Ares,1,,Chromatic,Scalloped,Crown,Curls,Matte,Bolt,Rabbit,
g1ddy-Ariel,1,,Chromatic,Fishbone,Shell,Scales,Glimmer,Goggles,Rabbit,
g1ddy-Arista,1,,Chromatic,Accordion,Triceratops,Quetzal,Chrome,Triangles,Nemo Fins,
g1ddy-Artemis,1,,Chromatic,Scalloped,Twig,Dragon,Beetle,Diamond,Llama,
g1ddy-Aruba,1,,Chromatic,Scalloped,Cow,Scales,Pulp,Bolt,Dragonfly,
g1ddy-Arya,1,,Chromatic,Rabbit,Antennae,Quetzal,Glitter,Kawaii,Fairy,
g1ddy-Aspen,1,,Chromatic,Rabbit,Buns,Beetle Wings,Chrome,Diamond,Bamboo Spear,
g1ddy-Aster,1,,Chromatic,Accordion,Stacked,Skirt,Geode,Cloud,Monkey,
g1ddy-Athena,1,,Chromatic,Shell,Angler,Horse,Bedazzled,Fold,Fairy,
g1ddy-Attina,1,,Chromatic,Fern,Goat,Beetle Wings,Glitter,Fangs,Slice,
g1ddy-Auburn,1,,Chromatic,Mouse,Devil,Eyebrows,Iridescent,Owl,Picks,
g1ddy-Aura,1,,Chromatic,Accordion,Angler,Beetle Wings,Fuzzy,Countess,Llama,
g1ddy-Aureus,1,,Chromatic,Wavelength,Triumvirate,Whiskers,Satin,Round,Seraph,
g1ddy-Aurora,1,,Chromatic,Snowflake,Infinity,Eyebrows,Glassy,Kawaii,Llama,
g1ddy-Autumn,1,,Chromatic,Asparagus,None,Hermes,Matte,Fangs,Square,
g1ddy-Aveline,1,,Chromatic,Fan,Spire,Stubble,Bedazzled,Owl,Square,
g1ddy-Azure,1,,Chromatic,Horse,Antelope,Bat Wings,Pulp,Blob,Mouse,
jinxpride-Abalone,1,,Chromatic,Paradise,Cow,Thorns,Iridescent,Fangs,Fairy,
jinxpride-Absolute,1,,Diamonds,Superhero Cape,Infinity,Tutu,Ore,Goggles,Slice,
jinxpride-Adella,1,,Chromatic,Agave,None,Scales,Furry,Cloud,Monkey,
jinxpride-Alana,1,,Chromatic,Matrix, Asparagus,Feathers,Iridescent,Octopus,Picks,
jinxpride-Alba,1,,Chromatic,Fern,Demon,None,Furry,Fold,Fairy,
jinxpride-Ambrosia,1,,Chromatic,Radish,Buns,Bat Wings,Geode,Heart,Rudders,
jinxpride-Amethyst,1,,Chromatic,Matrix,Asparagus,Spades,Glitter,Diamond,Bat,
jinxpride-Andrina,1,,Chromatic,Accordion,Demon,None,Slimy,Fold,Tubes,
jinxpride-Aphrodite,1,,Chromatic,Carnival,Spire,Whiskers,Slimy,Diamond,Slice,
jinxpride-Apollo,1,,Chromatic,Bear,Staircase,Hermes,Slimy,Octopus,Mouse,
jinxpride-Aquaman,1,,Chromatic,Snowflake,Demon,Spades,Rusty,Dots,Butterfly,
jinxpride-Aquata,1,,Chromatic,Fishbone,Cow,Eyebrows,LED,Fangs,Llama,
jinxpride-Archipelago,1,,Chromatic,None,Stacked,Curls,Starry,Countess,Bear,
jinxpride-Arcoiris,1,,Chromatic,Ribcage,Goat,Whiskers,Beetle,Monkey,Heart,
jinxpride-Ares,1,,Chromatic,Mouse,Narwhal,Bee Wings,Geode,Goggles,Heart,
jinxpride-Ariel,1,,Chromatic,Matrix,Meringue,Quetzal,LED,Triangles,None,
jinxpride-Arista,1,,Chromatic,Wavelength,Spire,Moth,Iridescent,Goggles,Bat,
jinxpride-Artemis,1,,Chromatic,Fletching,Demon,None,Glitter,Bandit,Seraph,
jinxpride-Aruba,1,,Chromatic,Matrix,Bull,Scales,Event Horizon,Cloud,Leaf,
jinxpride-Arya,1,,Chromatic,Horse,Buns,None,Furry,Octopus,Seraph,
jinxpride-Aspen,1,,Chromatic,Bear,Straw,Scales,Gummy,Cloud,Galactus,
jinxpride-Aster,1,,Chromatic,Snowflake,Devil,Whiskers,Glimmer,Owl,Square,
jinxpride-Athena,1,,Chromatic,Fleur,Demon,Feathers,LED,Bolt,Square,
jinxpride-Attina,1,,Chromatic,Cat,Pitchfork,Feathers,Chrome,Cloud,Bat,
jinxpride-Auburn,1,,Chromatic,Paradise,Goat,Bat Wings,Starry,Round,Pincers,
jinxpride-Aura,1,,Chromatic,Flame,Bharal,Moth,Ore,Dots,Slice,
jinxpride-Aureus,1,,Chromatic,Fan,Antelope,Scales,Rusty,Fold,Beaks,
jinxpride-Aurora,1,,Chromatic,None,Spire,Beetle Wings,Geode,Kawaii,Beaks,
jinxpride-Autumn,1,,Chromatic,Matrix,Narwhal,Whiskers,Chrome,Bandit,Rabbit,
jinxpride-Aveline,1,,Chromatic,Kelp,Narwhal,Mohawk,Ore,Diamond,Llama,
jinxpride-Azure,1,,Chromatic,Scalloped,Antennae,Horse,Waxy,Fangs,Picks,
Jinx007-Jasmine,1,,Chromatic,Radish,Trident,Hermes,Fuzzy,Monkey,Monkey,
Jinx007-Maximilian,2,Jinx007-Jasmine,Chromatic,Radish,Trident,Hermes,Fuzzy,Monkey,Monkey,
Jinx007-Banshee,2,Jinx007-Jasmine,Cheetah,Cat,None,Hermes,Fuzzy,Monkey,Cat,
